Fretboard Notes and Frequencies © 2010-2021 by Gary J. Teixeira Jr.

You may contact the writer of this document at: ambientmine@protonmail.com

-24 Frets
    S  6        5       4        3       2        1
    
    0  E1  20  A2  27   D2  36   G2  48  B3  61   E3  82
    23 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    24 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739

-9 Frets    
    S  6       5       4       3        2        1
    
    0  G2  48  C3  65  F3  87  Bb4 116  C4  146  G4  195
    1  G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207
    2  A3  55  D3  73  G3  97  C4  130  E4  164  A5  220
    3  Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    4  B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    5  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    6  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    7  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    8  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    9  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    10 F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    11 F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    12 G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391    
    13 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    14 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    15 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    16 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    17 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    18 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    19 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    20 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    21 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    22 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    23 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    24 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
 
-8 Frets    
    S  6       5       4       3        2        1
    
    0  G#2 51  C#3 69  F#3 92  B4  123  D#4 155  G#4 207
    1  A3  55  D3  73  G3  97  C4  130  E4  164  A5  220
    2  Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    3  B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    4  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    5  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    6  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    7  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    8  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    9  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    10 F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    11 G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    12 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    13 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    14 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    15 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    16 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    17 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    18 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    19 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    20 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    21 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    22 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    23 G#4 195 C5  261 F5  340 Bb6 466  D6  587  G6  783
    24 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830

-7 Frets    
    S  6       5       4       3        2        1
    
    0  A3  55  D3  73  G3  97  C4  130  E4  164  A5  220
    1  Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    2  B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    3  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    4  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    5  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    6  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    7  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    8  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    9  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    10 G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    11 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    12 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    13 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    14 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    15 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    16 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    17 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    18 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    19 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    20 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    21 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    22 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    23 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    24 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    
-6 Frets
    S  6       5       4       3        2        1
    
    0  Bb3 58  D#3 77  G#3 103 C#4 138  F4  174  Bb5 233
    1  B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    2  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    3  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    4  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    5  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    6  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    7  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    8  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    9  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    10 G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    11 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    12 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    13 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    14 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    15 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    16 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    17 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    18 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    19 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    20 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    21 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    22 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    23 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    24 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932

-5 Frets    
    S  6       5       4       3        2        1
    
    0  B3  61  E3  82  A4  110 D4  146  F#4 184  B5  246
    1  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    2  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    3  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    4  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    5  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    6  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    7  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    8  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    9  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    10 A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    11 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    12 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    13 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    14 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    15 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    16 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    17 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    18 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    19 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    20 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    21 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    22 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    23 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    24 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987

-4 Frets    
    S  6       5       4       3        2        1
    
    0  C3  65  F3  87  Bb4 116 D#4 155  G4  195  C5  261
    1  C#2 69  F#3 92  B4  123 E4  164  G#4 207  C#5 277
    2  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    3  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    4  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    5  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    6  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    7  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    8  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    9  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    10 Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    11 B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    12 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    13 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    14 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    15 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    16 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    17 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    18 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    19 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    20 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    21 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    22 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    23 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    24 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046

-3 Frets    
    S  6       5       4       3       2         1
    
    0  C#2 69  F#3 92  B4  123 E4  164 G#4 207   C#5 277
    1  D3  73  G3  97  C4  130 F4  174 A5  220   D5  293
    2  D#3 77  G#3 103 C#4 138 F#4 184 Bb5 233   D#5 311
    3  E3  82  A4  110 D4  146 G4  195 B5  246   E5  329
    4  F3  87  Bb4 116 D#4 155 G#4 207 C5  261   F5  349
    5  F#3 92  B4  123 E4  164 A5  220 C#5 277   F#5 369
    6  G3  97  C4  130 F4  174 Bb5 233 D5  293   G5  391
    7  G#3 103 C#4 138 F#4 184 B5  246 D#5 311   G#5 415
    8  A4  110 D4  146 G4  195 C5  261 E5  329   A6  440
    9  Bb4 116 D#4 155 G#4 207 C#5 277 F5  349   Bb6 466
    10 B4  123 E4  164 A5  220 D5  293 F#5 369   B6  493
    11 C4  130 F4  174 Bb5 233 D#5 311 G5  391   C6  523
    12 C#4 138 F#4 184 B5  246 E5  329 G#5 415   C#6 554
    13 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    14 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    15 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    16 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    17 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    18 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    19 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    20 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    21 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    22 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    23 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    24 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108

-2 Frets    
    S  6       5       4       3        2        1
    
    0  D3  73  G3  97  C4  130 F4  174  A5  220  D5  293
    1  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    2  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    3  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    4  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    5  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    6  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    7  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    8  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    9  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    10 C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    11 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    13 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    13 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    14 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    15 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    16 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    17 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    18 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    19 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    20 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    21 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    22 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    23 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    24 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174

-1 Fret  
    S  6       5       4       3        2        1
    
    0  D#3 77  G#3 103 C#4 138 F#4 184  Bb5 233  D#5 311
    1  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    2  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    3  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    4  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    5  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    6  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    7  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    8  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    9  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    10 C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    11 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    12 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    13 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    14 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    15 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    16 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    17 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    18 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    19 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    20 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    21 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    22 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    23 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    24 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244

Standard Tuning     
    S  6       5       4       3        2        1
    
    0  E3  82  A4  110 D4  146 G4  195  B5  246  E5  329
    1  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    2  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    3  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    4  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    5  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    6  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    7  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    8  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    9  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    10 D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    11 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    12 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659    
    13 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    14 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    15 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    16 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    17 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    18 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    19 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    20 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    21 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    22 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    23 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    24 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318

+1 Fret
    S  6       5       4       3        2        1
    
    0  F3  87  Bb4 116 D#4 155 G#4 207  C5  261  F5  349
    1  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    2  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    3  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    4  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    5  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    6  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    7  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    8  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    9  D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    10 D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    11 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    12 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698    
    13 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    14 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    15 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    16 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    17 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    18 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    19 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    20 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    21 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    22 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    23 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318
    24 F#5 369 Bb6 466 D#6 622 G#6 830  C7  1046 F#7 1396

+2 Frets    
    S  6       5       4       3        2        1
    
    0  F#3 92  B4  123 E4  164 A5  220  C#5 277  F#5 369
    1  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    2  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    3  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    4  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    5  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    6  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    7  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    8  D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    9  D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    10 E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    11 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    12 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    13 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    14 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    15 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    16 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    17 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    18 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    19 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    20 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    21 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    22 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318
    23 F#5 369 Bb6 466 D#6 622 G#  830  C7  1046 F#7 1396
    24 G5  391 B6  493 E6  659 A7  880  C#7 1108 G7  1479

+3 Frets
    S  6       5       4       3        2        1
    
    0  G3  97  C4  130 F4  174 Bb5 233  D5  293  G5  391
    1  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    2  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    3  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    4  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    5  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    6  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    7  D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    8  D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    9  E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    10 F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    11 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    12 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783  
    13 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    14 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    15 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    16 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    17 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    18 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    19 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    20 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    21 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318
    22 F#5 369 Bb6 466 D#6 622 G#6 830  C7  1046 F#7 1396
    23 G5  391 B6  493 E6  659 A7  880  C#7 1108 G7  1479
    24 G#5 415 C6  523 F6  698 Bb7 932  D7  1174 G#7 1567

+4 Frets    
    S  6       5       4       3        2        1
    
    0  G#3 103 C#4 138 F#4 184 B5  246  D#5 311  G#5 415
    1  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    2  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    3  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    4  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    5  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    6  D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    7  D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    8  E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    9  F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    10 G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    11 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    12 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    13 Bb5 233 D5  293 G5  391 C6  523  E6  659  A7  880
    14 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    15 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    16 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    17 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    18 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    19 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    20 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318
    21 F#5 369 Bb6 466 D#6 622 G#6 830  C7  1046 F#7 1396
    22 G5  391 B6  493 E6  659 A7  880  C#7 1108 G7  1479
    23 G#5 415 C6  523 F6  698 Bb7 932  D7  1174 G#7 1567
    24 A6  440 C#6 554 F#6 739 B7  987  D#7 1244 A8  1760
    
+5 Frets    
    S  6       5       4       3        2        1
    
    0  A4  110 D4  146 G4  195 C5  261  E5  329  A6  440
    1  Bb4 116 D#4 155 G#4 207 C#5 277  F5  349  Bb6 466
    2  B4  123 E4  164 A5  220 D5  293  F#5 369  B6  493
    3  C4  130 F4  174 Bb5 233 D#5 311  G5  391  C6  523
    4  C#4 138 F#4 184 B5  246 E5  329  G#5 415  C#6 554
    5  D4  146 G4  195 C5  261 F5  349  A6  440  D6  587
    6  D#4 155 G#4 207 C#5 277 F#5 369  Bb6 466  D#6 622
    7  E4  164 A5  220 D5  293 G5  391  B6  493  E6  659
    8  F4  174 Bb5 233 D#5 311 G#5 415  C6  523  F6  698
    9  G4  184 B5  246 E5  329 A6  440  C#6 554  F#6 739
    10 G#4 195 C5  261 F5  349 Bb6 466  D6  587  G6  783
    11 A5  220 C#5 277 F#5 369 B6  493  D#6 622  G#6 830
    12 Bb5 233 D5  293 G5  391 C6  523  E6 659   A7  880
    13 B5  246 D#5 311 G#5 415 C#6 554  F6  698  Bb7 932
    14 C5  261 E5  329 A6  440 D6  587  F#6 739  B7  987
    15 C#5 277 F5  349 Bb6 466 D#6 622  G6  783  C7  1046
    16 D5  293 F#5 369 B6  493 E6  659  G#6 830  C#7 1108
    17 D#5 311 G5  391 C6  523 F6  698  A7  880  D7  1174
    18 E5  329 G#5 415 C#6 554 F#6 739  Bb7 932  D#7 1244
    19 F5  349 A6  440 D6  587 G6  783  B7  987  F7  1318
    20 F#5 369 Bb6 466 D#6 622 G#6 830  C7  1046 F#7 1396
